Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
39154,STANDARD,RAYMOND,MS,PRIMARY,32.26,-90.42,NA-US-MS-RAYMOND,false,3886,7133,146192969
38661,STANDARD,RED BANKS,MS,PRIMARY,34.83,-89.58,NA-US-MS-RED BANKS,false,772,1439,22669914
39156,STANDARD,REDWOOD,MS,PRIMARY,32.5,-90.79,NA-US-MS-REDWOOD,false,297,578,9538812
38767,PO BOX,RENA LARA,MS,PRIMARY,34.15,-90.77,NA-US-MS-RENA LARA,false,,,
39476,STANDARD,RICHTON,MS,PRIMARY,31.34,-88.94,NA-US-MS-RICHTON,false,2952,5841,94318867
39157,STANDARD,RIDGELAND,MS,PRIMARY,32.42,-90.13,NA-US-MS-RIDGELAND,false,10641,18046,525978897
39158,PO BOX,RIDGELAND,MS,PRIMARY,32.42,-90.13,NA-US-MS-RIDGELAND,false,788,1283,30776805
38865,STANDARD,RIENZI,MS,PRIMARY,34.76,-88.53,NA-US-MS-RIENZI,false,1966,3815,53184372
38663,STANDARD,RIPLEY,MS,PRIMARY,34.72,-88.94,NA-US-MS-RIPLEY,false,5106,9444,132042313
38664,STANDARD,ROBINSONVILLE,MS,PRIMARY,34.81,-90.31,NA-US-MS-ROBINSONVILLE,false,1364,2301,30902488
39159,STANDARD,ROLLING FORK,MS,PRIMARY,32.9,-90.87,NA-US-MS-ROLLING FORK,false,1207,2177,25952648
38768,PO BOX,ROME,MS,PRIMARY,33.93,-90.52,NA-US-MS-ROME,false,,,
38769,STANDARD,ROSEDALE,MS,PRIMARY,33.85,-91.03,NA-US-MS-ROSEDALE,false,925,1670,19435015
39356,STANDARD,ROSE HILL,MS,PRIMARY,32.13,-89.01,NA-US-MS-ROSE HILL,false,319,583,9854530
39661,STANDARD,ROXIE,MS,PRIMARY,31.5,-91.06,NA-US-MS-ROXIE,false,1123,2149,29186146
38771,STANDARD,RULEVILLE,MS,PRIMARY,33.72,-90.55,NA-US-MS-RULEVILLE,false,1282,2314,27848438
39662,STANDARD,RUTH,MS,PRIMARY,31.37,-90.29,NA-US-MS-RUTH,false,501,1002,19221972
39107,PO BOX,MC ADAMS,MS,PRIMARY,33.04,-89.65,NA-US-MS-MC ADAMS,false,,,
39160,STANDARD,SALLIS,MS,PRIMARY,33.02,-89.76,NA-US-MS-SALLIS,false,1126,2102,28273301
38866,STANDARD,SALTILLO,MS,PRIMARY,34.38,-88.68,NA-US-MS-SALTILLO,false,5053,9642,191830985
39477,PO BOX,SANDERSVILLE,MS,PRIMARY,31.78,-89.03,NA-US-MS-SANDERSVILLE,false,410,767,13081580
39161,PO BOX,SANDHILL,MS,PRIMARY,32.28,-89.88,NA-US-MS-SANDHILL,false,,,
39478,STANDARD,SANDY HOOK,MS,PRIMARY,31.03,-89.8,NA-US-MS-SANDY HOOK,false,822,1593,26878762
38665,STANDARD,SARAH,MS,PRIMARY,34.6,-90.12,NA-US-MS-SARAH,false,933,1832,26039867
38666,STANDARD,SARDIS,MS,PRIMARY,34.43,-89.91,NA-US-MS-SARDIS,false,2812,5090,64598376
39162,STANDARD,SATARTIA,MS,PRIMARY,32.67,-90.54,NA-US-MS-SATARTIA,false,,,
39574,STANDARD,SAUCIER,MS,PRIMARY,30.63,-89.13,NA-US-MS-SAUCIER,false,5551,10561,175930642
38952,STANDARD,SCHLATER,MS,PRIMARY,33.63,-90.34,NA-US-MS-SCHLATER,false,269,500,6238296
38953,STANDARD,SCOBEY,MS,PRIMARY,33.93,-89.88,NA-US-MS-SCOBEY,false,274,518,7451066
39358,STANDARD,SCOOBA,MS,PRIMARY,32.83,-88.47,NA-US-MS-SCOOBA,false,644,1132,15411031
38772,PO BOX,SCOTT,MS,PRIMARY,33.59,-91.07,NA-US-MS-SCOTT,false,,,
39359,PO BOX,SEBASTOPOL,MS,PRIMARY,32.56,-89.33,NA-US-MS-SEBASTOPOL,false,276,521,8485593
39479,STANDARD,SEMINARY,MS,PRIMARY,31.55,-89.49,NA-US-MS-SEMINARY,false,2258,4385,71083294
38668,STANDARD,SENATOBIA,MS,PRIMARY,34.61,-89.97,NA-US-MS-SENATOBIA,false,5634,10493,184251425
38868,STANDARD,SHANNON,MS,PRIMARY,34.11,-88.69,NA-US-MS-SHANNON,false,2348,4249,57592307
39163,PO BOX,SHARON,MS,PRIMARY,32.65,-89.83,NA-US-MS-SHARON,false,,,
38773,STANDARD,SHAW,MS,PRIMARY,33.6,-90.77,NA-US-MS-SHAW,false,1323,2409,27148943
38774,STANDARD,SHELBY,MS,PRIMARY,33.95,-90.76,NA-US-MS-SHELBY,false,989,1807,17777548
